,title,genres,production_companies,budget_M
8,Avatar: The Way of Water,Science Fiction,20th Century Studios,460.0
0,Avengers: Endgame,Adventure,Marvel Studios,356.0
106,Fast X,Action,Universal Pictures,340.0
136,The Flash,Action,Warner Bros. Pictures,300.0
225,Indiana Jones and the Dial of Destiny,Adventure,Lucasfilm Ltd.,294.7
287,Mission: Impossible - Dead Reckoning Part One,Action,Paramount,291.0
14,The Lion King,Adventure,Walt Disney Pictures,260.0
81,Guardians of the Galaxy Vol. 3,Science Fiction,Marvel Studios,250.0
20,Star Wars: The Rise of Skywalker,Adventure,Lucasfilm Ltd.,250.0
65,Black Panther: Wakanda Forever,Action,Marvel Studios,250.0
63,No Time to Die,Action,other,250.0
48,Thor: Love and Thunder,Fantasy,Marvel Studios,250.0
191,The Little Mermaid,Adventure,Walt Disney Pictures,250.0
23,Tenet,Action,Warner Bros. Pictures,205.0
100,Ant-Man and the Wasp: Quantumania,Action,Marvel Studios,200.0
38,Luca,Animation,Pixar,200.0
41,Eternals,Science Fiction,Marvel Studios,200.0
46,F9,Action,Original Film,200.0
47,Fast & Furious Presents: Hobbs & Shaw,Action,other,200.0
51,Mulan,Adventure,Walt Disney Pictures,200.0
132,Lightyear,Animation,Pixar,200.0
108,Fantastic Beasts: The Secrets of Dumbledore,Fantasy,Warner Bros. Pictures,200.0
66,Black Adam,Action,New Line Cinema,200.0
31,Doctor Strange in the Multiverse of Madness,Fantasy,Marvel Studios,200.0
62,Onward,Family,Walt Disney Pictures,200.0
162,Elemental,Animation,Walt Disney Pictures,200.0
143,The Tomorrow War,Action,Skydance,200.0
127,The Gray Man,Action,other,200.0
33,Wonder Woman 1984,Action,Warner Bros. Pictures,200.0
57,Dark Phoenix,Fantasy,other,200.0
27,Cruella,Comedy,Walt Disney Pictures,200.0
2,Spider-Man: No Way Home,Action,Marvel Studios,200.0
15,Black Widow,Action,Marvel Studios,200.0
18,Godzilla vs. Kong,Action,Legendary Pictures,200.0
73,Jungle Cruise,Action,Walt Disney Pictures,200.0
121,Transformers: Rise of the Beasts,Action,Skydance,195.0
89,Turning Red,Animation,Walt Disney Pictures,190.0
80,The Matrix Resurrections,Science Fiction,Warner Bros. Pictures,190.0
36,The Suicide Squad,Action,other,185.0
60,Maleficent: Mistress of Evil,Family,Walt Disney Pictures,185.0
26,The Batman,Crime,other,185.0
85,Terminator: Dark Fate,Science Fiction,other,185.0
12,Aladdin,Adventure,Walt Disney Pictures,183.0
303,Strange World,Animation,Walt Disney Pictures,180.0
17,Toy Story 4,Family,Walt Disney Pictures,175.0
119,Dolittle,Family,Universal Pictures,175.0
98,Dumbo,Family,other,170.0
40,Top Gun: Maverick,Action,Skydance,170.0
29,Alita: Battle Angel,Action,other,170.0
64,Godzilla: King of the Monsters,Science Fiction,Legendary Pictures,170.0
71,Jurassic World Dominion,Adventure,Amblin Entertainment,165.0
13,Dune,Science Fiction,Legendary Pictures,165.0
4,Spider-Man: Far From Home,Action,Marvel Studios,160.0
75,Red Notice,Action,other,160.0
54,The Irishman,Crime,other,159.0
547,Haunted Mansion,Fantasy,Walt Disney Pictures,157.8
3,Captain Marvel,Action,Marvel Studios,152.0
171,Dungeons & Dragons: Honor Among Thieves,Adventure,other,151.0
19,Frozen II,Family,Walt Disney Pictures,150.0
50,Pokémon Detective Pikachu,Action,Legendary Pictures,150.0
28,Shang-Chi and the Legend of the Ten Rings,Action,Marvel Studios,150.0
110,Space Jam: A New Legacy,Family,other,150.0
11,Soul,Animation,Walt Disney Pictures,150.0
158,Moonfall,Science Fiction,other,146.0
77,Barbie,Comedy,other,145.0
83,Gemini Man,Science Fiction,Skydance,140.0
58,How to Train Your Dragon: The Hidden World,Animation,DreamWorks Animation,129.0
200,Meg 2: The Trench,Action,other,129.0
164,Shazam! Fury of the Gods,Comedy,New Line Cinema,125.0
32,Jumanji: The Next Level,Adventure,Columbia Pictures,125.0
194,Chaos Walking,Fantasy,other,125.0
78,Uncharted,Action,Columbia Pictures,120.0
310,Blue Beetle,Action,Warner Bros. Pictures,120.0
16,Venom: Let There Be Carnage,Science Fiction,other,110.0
96,Sonic the Hedgehog 2,Action,Original Film,110.0
37,Free Guy,Comedy,other,110.0
90,Men in Black: International,Comedy,Amblin Entertainment,110.0
118,The Call of the Wild,Adventure,other,109.0
109,Oppenheimer,Drama,other,100.0
412,White Noise,Comedy,other,100.0
137,The Last Duel,History,20th Century Studios,100.0
102,The King's Man,Action,other,100.0
6,1917,War,other,100.0
160,Spies in Disguise,Animation,other,100.0
91,Spider-Man: Across the Spider-Verse,Animation,Columbia Pictures,100.0
52,Raya and the Last Dragon,Animation,Walt Disney Pictures,100.0
272,West Side Story,Drama,Amblin Entertainment,100.0
180,Midway,Action,other,100.0
45,The Super Mario Bros. Movie,Animation,Universal Pictures,100.0
381,Wonder Park,Comedy,other,100.0
357,Missing Link,Family,other,100.0
207,The Lego Movie 2: The Second Part,Action,other,99.0
43,Ford v Ferrari,Drama,other,97.6
5,Once Upon a Time… in Hollywood,Comedy,other,95.0
334,Cats,Fantasy,other,95.0
86,John Wick: Chapter 4,Action,other,90.0
114,Army of the Dead,Action,other,90.0
265,Air,Drama,other,90.0
243,Scoob!,Animation,other,90.0
49,Puss in Boots: The Last Wish,Animation,DreamWorks Animation,90.0
82,Bullet Train,Action,other,90.0
133,Death on the Nile,Mystery,other,90.0
406,Devotion,War,other,90.0
271,DC League of Super-Pets,Animation,other,90.0
39,Bad Boys for Life,Thriller,Columbia Pictures,90.0
211,Trolls World Tour,Family,DreamWorks Animation,90.0
262,Snake Eyes: G.I. Joe Origins,Action,Paramount,88.0
56,Ad Astra,Science Fiction,other,87.5
103,Sing 2,Animation,Universal Pictures,85.0
145,Elvis,Drama,other,85.0
21,Sonic the Hedgehog,Action,Original Film,85.0
131,Minions: The Rise of Gru,Animation,Universal Pictures,85.0
178,The Boss Baby: Family Business,Animation,DreamWorks Animation,82.0
144,The Secret Life of Pets 2,Adventure,Universal Pictures,80.0
22,Shazam!,Action,New Line Cinema,80.0
290,Amsterdam,Mystery,other,80.0
231,The Bad Guys,Animation,DreamWorks Animation,80.0
30,It Chapter Two,Horror,New Line Cinema,79.0
183,Babylon,Drama,Paramount,78.0
105,Ghostbusters: Afterlife,Fantasy,Columbia Pictures,75.0
10,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Action,Warner Bros. Pictures,75.0
149,House of Gucci,Drama,other,75.0
42,Don't Look Up,Science Fiction,other,75.0
111,Morbius,Action,Columbia Pictures,75.0
338,The 355,Action,other,75.0
214,Abominable,Family,DreamWorks Animation,75.0
204,Creed III,Drama,other,75.0
135,The Lost City,Action,Paramount,74.0
528,The Equalizer 3,Action,other,70.0
395,Hypnotic,Mystery,other,70.0
208,Hitman's Wife's Bodyguard,Action,other,70.0
115,The Northman,Action,other,70.0
373,"Ruby Gillman, Teenage Kraken",Animation,Universal Pictures,70.0
377,Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,Paramount,70.0
247,Reminiscence,Mystery,other,68.0
122,Nope,Horror,other,68.0
130,The New Mutants,Science Fiction,20th Century Studios,67.0
249,The Angry Birds Movie 2,Animation,other,65.0
315,Renfield,Comedy,other,65.0
